epoch 112, Val Loss 0.6588, Val Auc 0.8093, Val AUPR 0.8519 
epoch 112, Test Loss 0.6667, Test Auc 0.7041, Test AUPR 0.7875 
epoch 113, Val Loss 0.6584, Val Auc 0.8148, Val AUPR 0.8198 
epoch 113, Test Loss 0.6667, Test Auc 0.7054, Test AUPR 0.7463 
epoch 114, Val Loss 0.6578, Val Auc 0.8176, Val AUPR 0.7923 
epoch 114, Test Loss 0.6665, Test Auc 0.7041, Test AUPR 0.7520 
epoch 115, Val Loss 0.6567, Val Auc 0.8176, Val AUPR 0.7923 
epoch 115, Test Loss 0.6655, Test Auc 0.7015, Test AUPR 0.7520 
epoch 116, Val Loss 0.6557, Val Auc 0.8176, Val AUPR 0.7923 
epoch 116, Test Loss 0.6643, Test Auc 0.7015, Test AUPR 0.7520 
epoch 117, Val Loss 0.6551, Val Auc 0.8134, Val AUPR 0.7923 
epoch 117, Test Loss 0.6634, Test Auc 0.7041, Test AUPR 0.7801 
epoch 130, Val Loss 0.6546, Val Auc 0.8203, Val AUPR 0.7593 
epoch 130, Test Loss 0.6661, Test Auc 0.6977, Test AUPR 0.7720 
epoch 145, Val Loss 0.6544, Val Auc 0.7970, Val AUPR 0.8577 
epoch 145, Test Loss 0.6696, Test Auc 0.6735, Test AUPR 0.7619 
epoch 146, Val Loss 0.6538, Val Auc 0.7956, Val AUPR 0.8352 
epoch 146, Test Loss 0.6708, Test Auc 0.6709, Test AUPR 0.8071 
epoch 150, Val Loss 0.6532, Val Auc 0.7984, Val AUPR 0.7772 
epoch 150, Test Loss 0.6762, Test Auc 0.6645, Test AUPR 0.7573 
epoch 151, Val Loss 0.6509, Val Auc 0.7942, Val AUPR 0.8204 
epoch 151, Test Loss 0.6733, Test Auc 0.6607, Test AUPR 0.7643 
epoch 152, Val Loss 0.6488, Val Auc 0.7901, Val AUPR 0.8198 
epoch 152, Test Loss 0.6700, Test Auc 0.6594, Test AUPR 0.7839 
epoch 153, Val Loss 0.6480, Val Auc 0.7901, Val AUPR 0.8390 
epoch 153, Test Loss 0.6690, Test Auc 0.6582, Test AUPR 0.7512 
epoch 154, Val Loss 0.6474, Val Auc 0.7888, Val AUPR 0.8390 
epoch 154, Test Loss 0.6684, Test Auc 0.6594, Test AUPR 0.7512 
epoch 155, Val Loss 0.6465, Val Auc 0.7874, Val AUPR 0.8390 
epoch 155, Test Loss 0.6680, Test Auc 0.6594, Test AUPR 0.7512 
epoch 156, Val Loss 0.6457, Val Auc 0.7846, Val AUPR 0.8218 
epoch 156, Test Loss 0.6680, Test Auc 0.6594, Test AUPR 0.7936 
epoch 157, Val Loss 0.6451, Val Auc 0.7846, Val AUPR 0.8056 
epoch 157, Test Loss 0.6694, Test Auc 0.6569, Test AUPR 0.7720 
epoch 158, Val Loss 0.6450, Val Auc 0.7846, Val AUPR 0.8204 
epoch 158, Test Loss 0.6712, Test Auc 0.6518, Test AUPR 0.7643 
epoch 160, Val Loss 0.6437, Val Auc 0.7805, Val AUPR 0.8194 
epoch 160, Test Loss 0.6715, Test Auc 0.6429, Test AUPR 0.7570 
epoch 161, Val Loss 0.6412, Val Auc 0.7819, Val AUPR 0.8218 
epoch 161, Test Loss 0.6660, Test Auc 0.6543, Test AUPR 0.7798 
epoch 162, Val Loss 0.6407, Val Auc 0.7846, Val AUPR 0.8452 
epoch 162, Test Loss 0.6638, Test Auc 0.6607, Test AUPR 0.7211 
epoch 163, Val Loss 0.6399, Val Auc 0.7819, Val AUPR 0.8390 
epoch 163, Test Loss 0.6646, Test Auc 0.6569, Test AUPR 0.7656 
epoch 166, Val Loss 0.6376, Val Auc 0.7860, Val AUPR 0.8056 
epoch 166, Test Loss 0.6635, Test Auc 0.6645, Test AUPR 0.7662 
epoch 167, Val Loss 0.6361, Val Auc 0.7874, Val AUPR 0.8390 
epoch 167, Test Loss 0.6598, Test Auc 0.6747, Test AUPR 0.7936 
epoch 168, Val Loss 0.6352, Val Auc 0.7888, Val AUPR 0.8390 
epoch 168, Test Loss 0.6575, Test Auc 0.6773, Test AUPR 0.7798 
epoch 172, Val Loss 0.6318, Val Auc 0.7929, Val AUPR 0.8198 
epoch 172, Test Loss 0.6566, Test Auc 0.6926, Test AUPR 0.7936 
epoch 175, Val Loss 0.6290, Val Auc 0.7915, Val AUPR 0.8577 
epoch 175, Test Loss 0.6527, Test Auc 0.6977, Test AUPR 0.7619 
epoch 178, Val Loss 0.6260, Val Auc 0.8052, Val AUPR 0.8577 
epoch 178, Test Loss 0.6498, Test Auc 0.7130, Test AUPR 0.7472 
epoch 180, Val Loss 0.6245, Val Auc 0.8107, Val AUPR 0.8452 
epoch 180, Test Loss 0.6467, Test Auc 0.7168, Test AUPR 0.7589 
epoch 181, Val Loss 0.6218, Val Auc 0.8080, Val AUPR 0.8577 
epoch 181, Test Loss 0.6488, Test Auc 0.7079, Test AUPR 0.7472 
epoch 182, Val Loss 0.6200, Val Auc 0.8093, Val AUPR 0.8452 
epoch 182, Test Loss 0.6460, Test Auc 0.7143, Test AUPR 0.7472 
epoch 184, Val Loss 0.6171, Val Auc 0.8176, Val AUPR 0.8452 
epoch 184, Test Loss 0.6401, Test Auc 0.7181, Test AUPR 0.7589 
epoch 185, Val Loss 0.6132, Val Auc 0.8217, Val AUPR 0.8452 
epoch 185, Test Loss 0.6402, Test Auc 0.7207, Test AUPR 0.7589 
epoch 188, Val Loss 0.6060, Val Auc 0.8230, Val AUPR 0.8644 
epoch 188, Test Loss 0.6309, Test Auc 0.7372, Test AUPR 0.7902 
epoch 190, Val Loss 0.6053, Val Auc 0.8244, Val AUPR 0.8330 
epoch 190, Test Loss 0.6280, Test Auc 0.7462, Test AUPR 0.8038 
epoch 194, Val Loss 0.6048, Val Auc 0.8148, Val AUPR 0.8204 
epoch 194, Test Loss 0.6425, Test Auc 0.7194, Test AUPR 0.7643 
epoch 195, Val Loss 0.6001, Val Auc 0.8162, Val AUPR 0.8466 
epoch 195, Test Loss 0.6369, Test Auc 0.7194, Test AUPR 0.7976 
epoch 196, Val Loss 0.5980, Val Auc 0.8230, Val AUPR 0.8700 
epoch 196, Test Loss 0.6296, Test Auc 0.7181, Test AUPR 0.7619 
epoch 198, Val Loss 0.5967, Val Auc 0.8217, Val AUPR 0.8577 
epoch 198, Test Loss 0.6275, Test Auc 0.7143, Test AUPR 0.7589 
epoch 200, Val Loss 0.5964, Val Auc 0.8258, Val AUPR 0.8897 
epoch 200, Test Loss 0.6225, Test Auc 0.7296, Test AUPR 0.7589 
epoch 202, Val Loss 0.5956, Val Auc 0.8230, Val AUPR 0.8700 
epoch 202, Test Loss 0.6179, Test Auc 0.7372, Test AUPR 0.7734 
epoch 216, Val Loss 0.5955, Val Auc 0.7942, Val AUPR 0.8644 
epoch 216, Test Loss 0.6238, Test Auc 0.7309, Test AUPR 0.7700 
epoch 219, Val Loss 0.5921, Val Auc 0.7970, Val AUPR 0.8483 
epoch 219, Test Loss 0.6316, Test Auc 0.7194, Test AUPR 0.7437 
epoch 222, Val Loss 0.5917, Val Auc 0.8025, Val AUPR 0.7944 
epoch 222, Test Loss 0.6465, Test Auc 0.7207, Test AUPR 0.7708 
epoch 223, Val Loss 0.5855, Val Auc 0.8038, Val AUPR 0.8644 
epoch 223, Test Loss 0.6273, Test Auc 0.7194, Test AUPR 0.7700 
epoch 225, Val Loss 0.5845, Val Auc 0.8134, Val AUPR 0.8519 
epoch 225, Test Loss 0.6230, Test Auc 0.7194, Test AUPR 0.7472 
epoch 226, Val Loss 0.5809, Val Auc 0.8038, Val AUPR 0.8333 
epoch 226, Test Loss 0.6300, Test Auc 0.7181, Test AUPR 0.7437 
epoch 229, Val Loss 0.5742, Val Auc 0.8258, Val AUPR 0.8390 
epoch 229, Test Loss 0.6119, Test Auc 0.7309, Test AUPR 0.7857 
epoch 232, Val Loss 0.5675, Val Auc 0.8354, Val AUPR 0.8783 
epoch 232, Test Loss 0.6002, Test Auc 0.7462, Test AUPR 0.7857 
